DEBUG [2018/09/26 09:45:16,219] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.aop.config.internalAutoProxyCreator'
DEBUG [2018/09/26 09:45:16,226] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.aop.config.internalAutoProxyCreator' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,239] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.aop.config.internalAutoProxyCreator'
DEBUG [2018/09/26 09:45:16,241] main XmlWebApplicationContext.initMessageSource(line:807): Unable to locate MessageSource with name 'messageSource': using default [org.springframework.context.support.DelegatingMessageSource@6e1f8469]
DEBUG [2018/09/26 09:45:16,243] main XmlWebApplicationContext.initApplicationEventMulticaster(line:831): Unable to locate ApplicationEventMulticaster with name 'applicationEventMulticaster': using default [org.springframework.context.event.SimpleApplicationEventMulticaster@652ab8d9]
DEBUG [2018/09/26 09:45:16,246] main UiApplicationContextUtils.initThemeSource(line:85): Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@25a73de1]
 INFO [2018/09/26 09:45:16,249] main DefaultListableBeanFactory.preInstantiateSingletons(line:603): Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@68e62ca4: defining beans [dataSource,sqlSessionFactory,sqlSession,jdbTransactionManager,transactionTemplate,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,org.mybatis.spring.mapper.MapperScannerConfigurer#0,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
DEBUG [2018/09/26 09:45:16,249] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'dataSource'
DEBUG [2018/09/26 09:45:16,249] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'dataSource'
 INFO [2018/09/26 09:45:16,267] main MLog.<clinit>(line:80): MLog clients using log4j logging.
 INFO [2018/09/26 09:45:16,485] main C3P0Registry.banner(line:204): Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
DEBUG [2018/09/26 09:45:16,512] main DynamicPooledDataSourceManagerMBean.reinitialize(line:236): MBean: com.mchange.v2.c3p0:type=PooledDataSource[1br2osr9y5fap7kteghw7|1b005a0b] registered.
DEBUG [2018/09/26 09:45:16,526] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'dataSource' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,548] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
DEBUG [2018/09/26 09:45:16,549] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.transaction.config.internalTransactionAdvisor'
DEBUG [2018/09/26 09:45:16,550] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.transaction.config.internalTransactionAdvisor' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,557] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
DEBUG [2018/09/26 09:45:16,557] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
DEBUG [2018/09/26 09:45:16,561] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,566] main BeanFactoryAdvisorRetrievalHelper.findAdvisorBeans(line:87): Skipping currently created advisor 'org.springframework.transaction.config.internalTransactionAdvisor'
DEBUG [2018/09/26 09:45:16,568] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
DEBUG [2018/09/26 09:45:16,569] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'org.springframework.transaction.config.internalTransactionAdvisor'
DEBUG [2018/09/26 09:45:16,573] main DefaultListableBeanFactory.createBean(line:460): Finished creating instance of bean 'dataSource'
DEBUG [2018/09/26 09:45:16,574] main DefaultListableBeanFactory.getSingleton(line:215): Creating shared instance of singleton bean 'sqlSessionFactory'
DEBUG [2018/09/26 09:45:16,574] main DefaultListableBeanFactory.createBean(line:432): Creating instance of bean 'sqlSessionFactory'
DEBUG [2018/09/26 09:45:16,588] main LogFactory.setImplementation(line:128): Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
DEBUG [2018/09/26 09:45:16,592] main DefaultListableBeanFactory.doCreateBean(line:506): Eagerly caching bean 'sqlSessionFactory' to allow for resolving potential circular references
DEBUG [2018/09/26 09:45:16,596] main DefaultListableBeanFactory.doGetBean(line:246): Returning cached instance of singleton bean 'dataSource'
DEBUG [2018/09/26 09:45:16,598] main PathMatchingResourcePatternResolver.findPathMatchingResources(line:354): Resolved location pattern [classpath*:mappers/**/*.xml] to resources []
DEBUG [2018/09/26 09:45:16,599] main DefaultListableBeanFactory.invokeInitMethods(line:1555): Invoking afterPropertiesSet() on bean with name 'sqlSessionFactory'
DEBUG [2018/09/26 09:45:16,600] main SqlSessionFactoryBean.buildSqlSessionFactory(line:365): Property 'configLocation' not specified, using default MyBatis Configuration
DEBUG [2018/09/26 09:45:16,637] main ResolverUtil.getClass(line:101): Class not found: org.jboss.vfs.VFS
DEBUG [2018/09/26 09:45:16,637] main ResolverUtil.setInvalid(line:137): JBoss 6 VFS API is not available in this environment.
